Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"-216,896",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Employee benefits,Recoveries
2014-2015,"-82,809",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transportation and communication,Recoveries
2014-2015,"-5,137,501",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Services,Recoveries
2014-2015,"-33,840",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Supplies and equipment,Recoveries
2014-2015,"-3,359,468",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Recoveries
2014-2015,-,Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry of Northern Development and Mines,Capital Expense,Ministry Administration,Amortization,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry of Northern Development and Mines,Capital Expense,Mines and Minerals,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"5,214",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,
2014-2015,"8,340",Ministry of Northern Development and Mines,Capital Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Transportation and communication,
2014-2015,"15,505",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Supplies and equipment,
2014-2015,"16,462",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Supplies and equipment,
2014-2015,"49,301",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"16,999",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"24,932",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Supplies and equipment,
2014-2015,"26,865",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,
2014-2015,"34,699",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Transportation and communication,
2014-2015,"36,952",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Transportation and communication,
2014-2015,"43,082",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,
2014-2015,"55,766",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Services,
2014-2015,"68,673",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Railway Infrastructure Renewal
2014-2015,"69,030",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Transportation and communication,
2014-2015,"92,962",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"100,000",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Transfer payments,Reporting Ontario's Mining Activities
2014-2015,"100,000",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Northern Ontario Municipal Associations
2014-2015,"110,000",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Transfer payments,Transfer payments Mapping Ontario's Geological Opportunities
2014-2015,"110,723",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Employee benefits,
2014-2015,"117,007",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2014-2015,"124,273",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Services,
2014-2015,"148,262",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,GO North Investor Program
2014-2015,"158,425",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"161,409",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Supplies and equipment,
2014-2015,"164,997",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"188,655",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Transportation and communication,
2014-2015,"189,843",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,
2014-2015,"197,342",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Employee benefits,
2014-2015,"235,718",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,
2014-2015,"284,011",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,
2014-2015,"410,448",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Transportation and communication,
2014-2015,"510,368",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transportation and communication,
2014-2015,"525,303",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Information Systems,Services,
2014-2015,"610,127",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Community Services
2014-2015,"673,668",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Owen Sound Transportation Company
2014-2015,"685,394",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Salaries and wages,
2014-2015,"700,000",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Small Business Enterprise Centres
2014-2015,"12,824",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"957,931",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Salaries and wages,
2014-2015,"1,005,691",Ministry of Northern Development and Mines,Capital Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Supplies and equipment,
2014-2015,"1,041,598",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Economic Development
2014-2015,"1,221,900",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Transfer payments,Focussed Flow-through Share Tax Credit
2014-2015,"1,303,668",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Employee benefits,
2014-2015,"1,310,189",Ministry of Northern Development and Mines,Capital Expense,Ministry Administration,Ministry Administration,Ministry Administration,Services,
2014-2015,"1,353,857",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Salaries and wages,
2014-2015,"1,415,255",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Supplies and equipment,
2014-2015,"1,448,681",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Salaries and wages,
2014-2015,"1,484,737",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Services,
2014-2015,"1,553,876",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Transportation and communication,
2014-2015,"1,678,179",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,
2014-2015,"2,755,228",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Northern Economic Development,Northern Economic Development,Other transactions,Resource Access Roads
2014-2015,"2,810,000",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Owen Sound Transportation Company
2014-2015,"2,905,630",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Employee benefits,
2014-2015,"3,359,468",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Summer Jobs Service
2014-2015,"3,922,187",Ministry of Northern Development and Mines,Capital Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Services,
2014-2015,"4,996,894",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Winter Roads
2014-2015,"6,760,758",Ministry of Northern Development and Mines,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Services,
2014-2015,"7,058,361",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Services,
2014-2015,"9,117,925",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Salaries and wages,
2014-2015,"9,693,782",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Aboriginal Economic Development
2014-2015,"13,994,363",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Services,
2014-2015,"19,585,910",Ministry of Northern Development and Mines,Operating Expense,Mines and Minerals,Mineral Sector Competitiveness,Mineral Sector Competitiveness,Salaries and wages,
2014-2015,"20,162,869",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Bad Debt Expense,Statutory Appropriations,Other Transactions,
2014-2015,"24,528,527",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Northern Economic Development,Northern Economic Development,Services,
2014-2015,"32,178,168",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Ontario Northland Transportation Commission
2014-2015,"40,000,000",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Northern Ontario Heritage Fund
2014-2015,"50,963,613",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Ontario Northland Transportation Commission
2014-2015,"60,000,000",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Northern Ontario Heritage Fund
2014-2015,"107,856,656",Ministry of Northern Development and Mines,Operating Expense,Northern Development,Northern Economic Development,Northern Economic Development,Transfer payments,Northern Industrial Electricity Rate Program
2014-2015,"249,692,988",Ministry of Northern Development and Mines,Capital Expense,Northern Development,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"28,097",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Supplies and equipment,
2014-2015,"79,238",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Employee benefits,
2014-2015,"149,739",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Transportation and communication,
2014-2015,"377,287",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Services,
2014-2015,"584,598",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Transfer payments,Jury Roll
2014-2015,"719,719",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Salaries and wages,
2014-2015,"1,500,526",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Transfer payments,Aboriginal Justice Projects
2014-2015,"2,630,744",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Aboriginal Justice Division,Aboriginal Justice Division,Transfer payments,Ontario Aboriginal Courtwork Program
2014-2015,"6,538,180",Ministry of the Attorney General,Operating Expense,Court Services,Administration of Justice,Administration of Justice,Supplies and equipment,
2014-2015,"8,881,024",Ministry of the Attorney General,Operating Expense,Court Services,Administration of Justice,Administration of Justice,Transportation and communication,
2014-2015,"26,713,520",Ministry of the Attorney General,Operating Expense,Court Services,Administration of Justice,Administration of Justice,Employee benefits,
2014-2015,"60,791,073",Ministry of the Attorney General,Operating Expense,Court Services,Administration of Justice,Administration of Justice,Services,
2014-2015,"158,081,718",Ministry of the Attorney General,Operating Expense,Court Services,Administration of Justice,Administration of Justice,Salaries and wages,
2014-2015,"-24,989,373",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Salaries and wages,Recoveries
2014-2015,"-12,406,210",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Services,Recoveries
2014-2015,"-4,820,272",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Employee benefits,Recoveries
2014-2015,"-652,417",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Transportation and communication,Recoveries
2014-2015,"-398,853",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Supplies and equipment,Recoveries
2014-2015,"22,807",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Agency Relations/Program Management,Transportation and communication,
2014-2015,"29,174",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Agency Relations/Program Management,Supplies and equipment,
2014-2015,"74,447",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Office of the Independent Police Review Director,Supplies and equipment,
2014-2015,"85,700",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Ontario Human Rights Commission,Supplies and equipment,
2014-2015,"134,578",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Special Investigations Unit,Supplies and equipment,
2014-2015,"159,597",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Ontario Human Rights Commission,Transportation and communication,
2014-2015,"186,182",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Office of the Independent Police Review Director,Transportation and communication,
2014-2015,"390,228",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Agency Relations/Program Management,Services,
2014-2015,"427,196",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Agency Relations/Program Management,Employee benefits,
2014-2015,"450,674",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Special Investigations Unit,Transportation and communication,
2014-2015,"514,066",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Ontario Human Rights Commission,Employee benefits,
2014-2015,"527,752",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Special Investigations Unit,Services,
2014-2015,"547,772",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Ontario Human Rights Commission,Services,
2014-2015,"565,882",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Office of the Independent Police Review Director,Employee benefits,
2014-2015,"745,730",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Office of the Independent Police Review Director,Services,
2014-2015,"779,415",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Special Investigations Unit,Employee benefits,
2014-2015,"1,082,301",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Supplies and equipment,
2014-2015,"1,915,799",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Transportation and communication,
2014-2015,"2,216,012",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Agency Relations/Program Management,Salaries and wages,
2014-2015,"4,139,531",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Ontario Human Rights Commission,Salaries and wages,
2014-2015,"4,410,724",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Office of the Independent Police Review Director,Salaries and wages,
2014-2015,"6,021,200",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Human Rights Legal Support Centre,Transfer payments,Human Rights Legal Support Centre
2014-2015,"6,301,196",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Special Investigations Unit,Salaries and wages,
2014-2015,"6,599,017",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Bail Verification and Supervision,Transfer payments,Bail Verification and Supervision
2014-2015,"8,589,014",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Services,
2014-2015,"9,734,544",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Employee benefits,
2014-2015,"51,414,588",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Agency Relations,Alcohol and Gaming Commission of Ontario,Salaries and wages,
2014-2015,"10,344",Ministry of the Attorney General,Capital Expense,Legal Services,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"13,431",Ministry of the Attorney General,Capital Expense,Ministry Administration,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"21,373",Ministry of the Attorney General,Capital Expense,Victims and Vulnerable Persons,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"58,032",Ministry of the Attorney General,Capital Expense,Prosecuting Crime,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"345,723",Ministry of the Attorney General,Capital Expense,"Policy, Justice Programs and Agencies",Amortization,Statutory Appropriations,Other Transactions,
2014-2015,"528,371",Ministry of the Attorney General,Capital Expense,Court Services,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"139,389",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"10,713,228",Ministry of the Attorney General,Operating Expense,Court Services,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"42,361,505",Ministry of the Attorney General,Capital Expense,Court Services,Court Construction,Court Construction,Other transactions,Major Infrastructure Projects - Payments
2014-2015,-,Ministry of the Attorney General,Capital Expense,Court Services,Court Services,Statutory Appropriations,Other transactions,
2014-2015,"39,770",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Criminal Injuries Compensation Board,Criminal Injuries Compensation Board,Supplies and equipment,
2014-2015,"437,314",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Criminal Injuries Compensation Board,Criminal Injuries Compensation Board,Transportation and communication,
2014-2015,"502,853",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Criminal Injuries Compensation Board,Criminal Injuries Compensation Board,Employee benefits,
2014-2015,"2,197,477",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Criminal Injuries Compensation Board,Criminal Injuries Compensation Board,Services,
2014-2015,"3,175,301",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Criminal Injuries Compensation Board,Criminal Injuries Compensation Board,Salaries and wages,
2014-2015,"24,156,467",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Criminal Injuries Compensation Board,Criminal Injuries Compensation Board,Transfer payments,Compensation to Victims of Crime
2014-2015,"20,875",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Transfer payments,Proceeds of Crime Victims Compensation
2014-2015,"2,140,401",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Transfer payments,Youth Justice Committees
2014-2015,"3,306,502",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Transportation and communication,
2014-2015,"3,540,565",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Transfer payments,Direct Accountability Programs
2014-2015,"4,107,162",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Supplies and equipment,
2014-2015,"22,438,164",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Employee benefits,
2014-2015,"25,589,885",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Services,
2014-2015,"203,823,650",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Criminal Law,Criminal Law,Salaries and wages,
2014-2015,"263,444",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Environment and Land Tribunals Ontario,Environment and Land Tribunals Ontario,Supplies and equipment,
2014-2015,"988,781",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Environment and Land Tribunals Ontario,Environment and Land Tribunals Ontario,Transportation and communication,
2014-2015,"1,567,147",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Environment and Land Tribunals Ontario,Environment and Land Tribunals Ontario,Employee benefits,
2014-2015,"2,786,094",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Environment and Land Tribunals Ontario,Environment and Land Tribunals Ontario,Services,
2014-2015,"12,014,890",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Environment and Land Tribunals Ontario,Environment and Land Tribunals Ontario,Salaries and wages,
2014-2015,"8,941,348",Ministry of the Attorney General,Capital Expense,Ministry Administration,Facilities Renewal,Facilities Renewal,Other transactions,Capital Investments - Renewal Expense
2014-2015,"20,322,882",Ministry of the Attorney General,Capital Expense,Ministry Administration,Facilities Renewal,Facilities Renewal,Other transactions,Capital Investments - Assets Renewal
2014-2015,"177,237",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Hearings under the Police Services Act,Statutory Appropriations,Other Transactions,
2014-2015,"231,951",Ministry of the Attorney General,Operating Expense,Court Services,Judicial Services,Judicial Services,Transfer payments,Grants - National Judicial Institute/Ontario Conference of Judges
2014-2015,"670,964",Ministry of the Attorney General,Operating Expense,Court Services,Judicial Services,Judicial Services,Supplies and equipment,
2014-2015,"2,874,364",Ministry of the Attorney General,Operating Expense,Court Services,Judicial Services,Judicial Services,Transportation and communication,
2014-2015,"10,092,180",Ministry of the Attorney General,Operating Expense,Court Services,Judicial Services,Judicial Services,Employee benefits,
2014-2015,"14,297,761",Ministry of the Attorney General,Operating Expense,Court Services,Judicial Services,Judicial Services,Services,
2014-2015,"136,702,041",Ministry of the Attorney General,Operating Expense,Court Services,Judicial Services,Judicial Services,Salaries and wages,
2014-2015,"24,348,100",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Legal Aid Ontario,Legal Aid Ontario,Transfer payments,Legal Aid Fund Certificates - Administration
2014-2015,"50,280,900",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Legal Aid Ontario,Legal Aid Ontario,Transfer payments,Legal Aid Fund Community Legal Clinics
2014-2015,"289,668,757",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Legal Aid Ontario,Legal Aid Ontario,Transfer payments,Legal Aid Fund Certificates - Client Services
2014-2015,"-94,402,070",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Seconded Legal Services,Salaries and wages,Recoveries
2014-2015,"-9,438,830",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Seconded Legal Services,Employee benefits,Recoveries
2014-2015,"-13,871,264",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Services,Recoveries
2014-2015,-,Ministry of the Attorney General,Capital Expense,Legal Services,Legal Services,Statutory Appropriations,Other transactions,
2014-2015,"202,253",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Victims Compensation
2014-2015,"531,301",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Transportation and communication,
2014-2015,"724,623",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Supplies and equipment,
2014-2015,"760,459",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Grants
2014-2015,"3,221,366",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Employee benefits,
2014-2015,"6,861,308",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Services,
2014-2015,"9,438,987",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Seconded Legal Services,Employee benefits,
2014-2015,"27,748,503",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Civil and Constitutional Law,Salaries and wages,
2014-2015,"94,403,230",Ministry of the Attorney General,Operating Expense,Legal Services,Legal Services,Seconded Legal Services,Salaries and wages,
2014-2015,"-1,577,116",Ministry of the Attorney General,Operating Expense,Legal Services,Legislative Counsel Services,Legislative Counsel Services,Services,Recoveries
2014-2015,"26,059",Ministry of the Attorney General,Operating Expense,Legal Services,Legislative Counsel Services,Legislative Counsel Services,Supplies and equipment,
2014-2015,"46,989",Ministry of the Attorney General,Operating Expense,Legal Services,Legislative Counsel Services,Legislative Counsel Services,Transportation and communication,
2014-2015,"319,538",Ministry of the Attorney General,Operating Expense,Legal Services,Legislative Counsel Services,Legislative Counsel Services,Services,
2014-2015,"587,146",Ministry of the Attorney General,Operating Expense,Legal Services,Legislative Counsel Services,Legislative Counsel Services,Employee benefits,
2014-2015,"5,361,897",Ministry of the Attorney General,Operating Expense,Legal Services,Legislative Counsel Services,Legislative Counsel Services,Salaries and wages,
2014-2015,"49,301",Ministry of the Attorney General,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"-119,977",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,French Language Services,Services,Recoveries
2014-2015,-,Ministry of the Attorney General,Capital Expense,Ministry Administration,Ministry Administration,,Other transactions,
2014-2015,"1,898",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Freedom of Information and Privacy,Supplies and equipment,
2014-2015,"9,693",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Freedom of Information and Privacy,Transportation and communication,
2014-2015,"13,346",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Supplies and equipment,
2014-2015,"21,353",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,
2014-2015,"21,612",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Freedom of Information and Privacy,Services,
2014-2015,"32,149",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,French Language Services,Supplies and equipment,
