Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"14,620,284",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Transportation and communication,No Value
2018-19,"14,649,567",Finance,Operating Expense,Financial Services Industry Regulation Program,Financial Services Commission of Ontario,No Value,Services,No Value
2018-19,"14,653,680",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Postsecondary Transformation
2018-19,"14,772,406",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"14,785,170",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Provincial-Local Finance,No Value,Services,No Value
2018-19,"14,787,412",Municipal Affairs / Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,No Value,Salaries and wages,No Value
2018-19,"14,824,384",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services ,No Value,Transfer payments,Grants for Sexual Assault Initiatives
2018-19,"14,963,920",Labour,Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,No Value,Services,No Value
2018-19,"15,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,5G/Next Generation Networks
2018-19,"15,000,000","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Transfer payments,Ontario Music Fund
2018-19,"15,118,945",Municipal Affairs / Housing,Capital Expense,Affordable Housing Program,Affordable Housing Capital,No Value,Transfer payments,Affordable Housing Program - Provincial Contribution
2018-19,"15,182,750",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services ,No Value,Transfer payments,Victim Crisis Assistance
2018-19,"15,258,944",Citizenship and Immigration,Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,No Value,Salaries and wages,No Value
2018-19,"15,294,531",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2018-19,"15,322,228",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Salaries and wages,No Value
2018-19,"15,347,757",Natural Resources and Forestry,Operating Expense,Public Protection,Public Protection,Emergency Fire Fighting,Supplies and equipment,No Value
2018-19,"15,521,949",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Statutory Appropriations,No Value,Other transactions,"Amortization Expense, the Financial Administration Act"
2018-19,"15,651,417",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Services,No Value
2018-19,"15,741,218",Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Employee benefits,No Value
2018-19,"15,747,863",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Ontario Parks,No Value,Supplies and equipment,No Value
2018-19,"15,759,537",International Trade,Operating Expense,International Trade,International Trade,No Value,Services,No Value
2018-19,"15,889,511",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Employee benefits,No Value
2018-19,"15,900,000",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Transfer payments,Resource Revenue Sharing for Mining
2018-19,"15,900,919",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central West,Transfer payments,Community Support Services
2018-19,"16,030,694",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central West,Transfer payments,LHIN Operations
2018-19,"16,060,248",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"16,175,071",Transportation,Capital Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"16,233,399",Treasury Board Secretariat,Operating Expense,Enterprise Information Technology Services Program,Enterprise Information and Information Technology Services,No Value,Employee benefits,No Value
2018-19,"16,393,169",Government and Consumer Services,Operating Expense,ServiceOntario Program,ServiceOntario,No Value,Transportation and communication,No Value
2018-19,"16,436,266","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
2018-19,"16,451,315",Health and Long-Term Care,Operating Expense,Population and Public Health Program,Population and Public Health,No Value,Transfer payments,Nutrition/Healthy Eating
2018-19,"16,492,835",Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,eHealth and Information Management,No Value,Services,No Value
2018-19,"16,513,983","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,"	Ontario Business-Research Institute Tax Credit	"
2018-19,"16,517,904",Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation,Labour Relations and Compensation,No Value,Salaries and wages,No Value
2018-19,"16,572,592",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer payments,Community Support Services
2018-19,"16,575,018",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer payments,Community Support Services
2018-19,"16,575,611",Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,No Value,Salaries and wages,No Value
2018-19,"16,629,538",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,No Value,Services,No Value
2018-19,"16,665,232",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Tax and Benefits Administration ,Tax Compliance and Benefits,Services,No Value
2018-19,"16,692,996",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Municipal Support Programs,No Value,Transfer payments,Special Payments to Municipalities
2018-19,"16,718,138",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,Payments Under the Financial Administration Act
2018-19,"16,732,813",Community Safety and Correctional Services,Capital Expense,Public Safety Division,Public Safety Division,No Value,Other transactions,Capital Investments
2018-19,"16,804,634",Community and Social Services,Operating Expense,Adults' Services Program,Family Responsibility Office,No Value,Services,No Value
2018-19,"16,824,724",Attorney General,Operating Expense,Legal Services Program,Statutory Appropriations,No Value,Other transactions,The Proceedings Against the Crown Act
2018-19,"16,851,899",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Claire,Transfer payments,LHIN Operations
2018-19,"16,853,310","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Canadian Ag Partnership ‚Äì Federal ‚Äì Economic Development
2018-19,"16,874,210",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Supplies and equipment,No Value
2018-19,"16,920,002",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central,Transfer payments,Community Health Centres
2018-19,"16,979,806",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Salaries and wages,No Value
2018-19,"17,171,389",Health and Long-Term Care,Operating Expense,Population and Public Health Program,Population and Public Health,No Value,Services,No Value
2018-19,"17,237,639",Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,No Value,Services,No Value
2018-19,"17,360,650",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Regional Operations,Services,No Value
2018-19,"17,699,559",Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Salaries and wages,No Value
2018-19,"17,801,260",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,No Value
2018-19,"17,813,038",Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,eHealth and Information Management,No Value,Salaries and wages,No Value
2018-19,"17,873,788",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Transfer payments,Aboriginal Economic Development
2018-19,"18,087,896",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Miscellaneous Grants - Policing Services
2018-19,"18,379,646",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Salaries and wages,No Value
2018-19,"18,490,332",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Services,No Value
2018-19,"18,497,594",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,"Safer Communities 1,000 Officers Partnership"
2018-19,"18,534,918",Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Employee benefits,No Value
2018-19,"18,551,080","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
2018-19,"18,841,760",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Program Administration,Services,No Value
2018-19,"19,151,239",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Services,No Value
2018-19,"19,239,139",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Services,No Value 
2018-19,"19,521,065",Attorney General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Capital Investments - Assets Renewal
2018-19,"19,659,085","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Transfer payments,Ontario Science Centre
2018-19,"19,716,809",Health and Long-Term Care,Operating Expense,Population and Public Health Program,Population and Public Health,No Value,Transfer payments,Infection Control
2018-19,"19,856,148",Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Fire Marshal and Emergency Management,No Value,Salaries and wages,No Value
2018-19,"19,865,916",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,No Value,Salaries and wages,No Value
2018-19,"19,887,394",Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,No Value,Salaries and wages,No Value
2018-19,"19,927,186",Seniors Affairs,Operating Expense,Seniors Affairs Program,Seniors Affairs Program,No Value,Transfer payments,Seniors Affairs
2018-19,"19,990,472",Natural Resources and Forestry,Operating Expense,Land and Resources Information and Information Technology Cluster Program,Land and Resources Information Technology Cluster,No Value,Salaries and wages,No Value
2018-19,"20,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,"	Ontario Brain Institute"
2018-19,"20,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,Artificial Intelligence Institute
2018-19,"20,337,649",Community and Social Services,Capital Expense,Adults' Services Program,Adults' Services,No Value,Transfer payments,Partner Facility Renewal
2018-19,"20,472,373",Government and Consumer Services,Operating Expense,ServiceOntario Program,ServiceOntario,No Value,Employee benefits,No Value
2018-19,"20,516,451",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer payments,LHIN Operations
2018-19,"20,534,149","Chief Electoral Officer, Office of the",Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Other transactions,Election Expense Subsidies under the Election Finances Act
2018-19,"20,550,892",Transportation,Operating Expense,Policy and Planning,Policy and Planning,No Value,Salaries and wages,No Value
2018-19,"20,567,827",Transportation,Capital Expense,Road User Safety Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"20,617,332",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Services,No Value
2018-19,"20,737,130",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Fish and Wildlife Special Purpose Funds,Services,No Value
2018-19,"20,864,317",Citizenship and Immigration,Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,No Value,Transfer payments,Workplace Training
2018-19,"21,072,300","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Transfer payments,Art Gallery of Ontario
2018-19,"21,180,480","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
2018-19,"21,204,945",Government and Consumer Services,Operating Expense,Ontario Shared Services Program,Ontario Shared Services,No Value,Employee benefits,No Value
2018-19,"21,400,000",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Statutory Appropriations,No Value,Other transactions,"Hydro One Inc., Provincial Corporate Tax Provision"
2018-19,"21,420,764",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Services,No Value
2018-19,"21,462,595","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,"Economic Development, Investment",Salaries and wages,No Value
2018-19,"21,471,062",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Policy and Planning,Salaries and wages,No Value
2018-19,"21,593,833",Northern Development and Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Salaries and wages,No Value
2018-19,"21,700,515",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Mississauga Halton,Transfer payments,LHIN Operations
2018-19,"22,005,741",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,No Value,Services,No Value
2018-19,"22,019,705",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer payments,Addiction Program
2018-19,"22,318,279",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer payments,LHIN Operations
2018-19,"22,640,422",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central,Transfer payments,LHIN Operations
2018-19,"22,702,385",Health and Long-Term Care,Operating Expense,Population and Public Health Program,Population and Public Health,No Value,Transfer payments,Sexually Transmitted Diseases Control
2018-19,"23,144,112",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,LHIN Operations
2018-19,"23,221,954",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Ontario Parks,No Value,Services,No Value
2018-19,"23,320,522",Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Ontario Provincial Police,No Value,Other transactions,Capital Investments
2018-19,"23,322,798",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington ,Transfer payments,LHIN Operations
2018-19,"23,591,661",Health and Long-Term Care,Operating Expense,Population and Public Health Program,Population and Public Health,No Value,Transfer payments,"Prevent Disease, Injury and Addiction"
2018-19,"23,652,864","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Transfer payments,Grants in Support of the Festival and Event Attractions and Support Program
2018-19,"23,673,514",Treasury Board Secretariat,Operating Expense,Audit Program,Ontario Internal Audit Division,No Value,Salaries and wages,No Value
2018-19,"23,709,624",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Regional Operations,Transfer payments,Regional Operations Resource Stewardship
2018-19,"23,738,402",Environment and Climate Change,Operating Expense,Environmental Assessment and Permissions ,Environmental Assessment and Permissions ,No Value,Salaries and wages,No Value
2018-19,"23,845,029",Treasury Board Secretariat,Operating Expense,"Centre for Leadership, Learning, Human Resources Policy and Agency Oversight","Centre for Leadership, Learning, Human Resources Policy and Agency Oversight",No Value,Salaries and wages,No Value
2018-19,"23,938,729",Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Services,No Value
2018-19,"23,988,074",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Hamilton Niagara Haldimand Brant,Transfer payments,Addiction Program
2018-19,"24,042,312",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer payments,Community Health Centres
2018-19,"24,051,490",Energy,Operating Expense,Electricity Price Mitigation,Electricity Price Mitigation Programs,No Value,Transfer payments,On-Reserve First Nations Delivery Credit
2018-19,"24,100,653",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Salaries and wages,No Value
2018-19,"24,118,439",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Legal Aid Ontario,No Value,Transfer payments,Legal Aid Fund Certificates - Administration
2018-19,"24,127,947",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2018-19,"24,197,218",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Salaries and wages,No Value
2018-19,"24,215,452","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Salaries and wages,No Value
2018-19,"24,251,030","Tourism, Culture and Sport",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Transfer payments,Grants in Support of Culture
2018-19,"24,305,120",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,No Value,Services,No Value
2018-19,"24,406,505",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Employee benefits,No Value
2018-19,"24,429,626","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Transfer payments,Libraries Sector Support
2018-19,"24,714,114","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Salaries and wages,No Value
2018-19,"24,793,700",Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,No Value,Transfer payments,Office des tÈlÈcommunications Èducatives de langue fran√ßaise de l'Ontario
2018-19,"24,973,736",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child Protection Services,Salaries and wages,No Value
2018-19,"24,981,483",Natural Resources and Forestry,Operating Expense,Public Protection,Public Protection,Public Safety and Emergency Response,Salaries and wages,No Value
2018-19,"24,995,855",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Hamilton Niagara Haldimand Brant,Transfer payments,LHIN Operations
2018-19,"25,024,464","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Farmersí Risk Management Premium Fund 
2018-19,"25,041,047",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"25,063,614",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,LHIN Operations
2018-19,"25,066,663",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South West,Transfer payments,Community Health Centres
2018-19,"25,068,211",Northern Development and Mines,Capital Expense,Northern Development Program,Northern Economic Development,No Value,Services,No Value
2018-19,"25,191,765",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Claire,Transfer payments,Community Support Services
2018-19,"25,315,003",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2018-19,"25,325,142",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"25,388,621",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Public Service Supplementary Plan
2018-19,"25,677,656","Tourism, Culture and Sport",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community ",No Value,Transfer payments,Sport and Athlete Development
2018-19,"25,919,175",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington ,Transfer payments,Community Health Centres
2018-19,"26,168,303",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South West,Transfer payments,LHIN Operations
2018-19,"26,397,840",Energy,Operating Expense,Electricity Price Mitigation,Electricity Price Mitigation Programs,No Value,Transfer payments,Northern Ontario Energy Credit
2018-19,"26,514,745",Community and Social Services,Capital Expense,Adults' Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"26,640,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,Ontario Capital Growth Corporation ‚Äì Fund Investments
2018-19,"27,280,900","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Transfer payments,Royal Ontario Museum
2018-19,"27,377,016",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer payments,Addiction Program
2018-19,"27,452,467",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South West,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"27,663,783",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,No Value,Transfer payments,Teletriage Services
2018-19,"27,692,852",Government and Consumer Services,Operating Expense,Government Services Integration Cluster,Government Services Integration Cluster,No Value,Salaries and wages,No Value
2018-19,"27,742,861",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington ,Transfer payments,Community Support Services
2018-19,"27,839,440",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child Protection Services,Services,No Value
2018-19,"28,095,236",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,Addiction Program
2018-19,"28,198,272",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Employee benefits,No Value
2018-19,"28,376,812",Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures,Transfer payments,Connecting Links
2018-19,"29,222,658",Community and Social Services,Operating Expense,Adults' Services Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"29,278,919",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child Protection Services,Transfer payments,Child Protection Transformation Fund
2018-19,"29,363,804",Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,No Value,Transfer payments,Early Learning Program
2018-19,"29,767,176",Natural Resources and Forestry,Operating Expense,Public Protection,Public Protection,Public Safety and Emergency Response,Services,No Value
2018-19,"29,949,349","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Edible Horticulture Support Program
2018-19,"29,950,300","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Transfer payments,Ontario Media Development Corporation
2018-19,"29,997,093",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Municipal Support Programs,No Value,Transfer payments,Ontario Cannabis Legalization Implementation
2018-19,"30,102,368",Transportation,Operating Expense,Labour and Transportation Cluster,Information and Information Technology Services,No Value,Salaries and wages,No Value
2018-19,"30,119,684",Community Safety and Correctional Services,Capital Expense,Correctional Services Program,Correctional Facilities,No Value,Other transactions,Capital Investments
2018-19,"30,184,785",Citizenship and Immigration,Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,No Value,Transfer payments,Settlement and Integration Grants
2018-19,"30,237,130",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations and Reconciliation,No Value,Transfer payments,Islington Grassy Narrows Mercury Disability Fund
2018-19,"31,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
2018-19,"31,096,705",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Employee benefits,No Value
2018-19,"31,282,100",Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,No Value,Transfer payments,Education Quality and Accountability Office
2018-19,"31,385,190",Environment and Climate Change,Operating Expense,Environmental Compliance and Operations ,Environmental Compliance and Enforcement ,No Value,Salaries and wages,No Value
2018-19,"31,438,882",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,No Value,Transfer payments,Underserviced Area Plan
2018-19,"31,456,260",Community Safety and Correctional Services,Capital Expense,Correctional Services Program,Correctional Facilities,No Value,Services,No Value
2018-19,"32,128,414",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Hamilton Niagara Haldimand Brant,Transfer payments,Community Health Centres
2018-19,"32,159,292",Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Salaries and wages,No Value
2018-19,"32,460,099",Community and Social Services,Operating Expense,Adults' Services Program,Family Responsibility Office,No Value,Salaries and wages,No Value
2018-19,"32,492,815","Tourism, Culture and Sport",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Computer Animation and Special Effects Tax Credit
2018-19,"32,499,327",Labour,Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,No Value,Salaries and wages,No Value
2018-19,"32,521,559",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2018-19,"32,663,664",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer payments,Community Mental Health
2018-19,"32,804,550",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington ,Transfer payments,Specialty Pychiatric Hospitals
2018-19,"33,031,084",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons ,Children's Lawyer,Services,No Value
2018-19,"33,252,709",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,"Provincial Services, Science and Research",Salaries and wages,No Value
