Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"2,994,769",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures ,Transfer Payments,First Nations
2015-16,"17,142,573",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures ,Transfer Payments,Highway 407 Municipal
2015-16,"233,829,119",Ministry of Transportation,Operating Expense,Policy and Planning,Urban and Regional Transportation,Urban and Regional Transportation,Transfer Payments,Metrolinx Operation Subsidies 
2015-16,"504,083",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures ,Transfer Payments,Municipal BCF-MIC Projects
2015-16,"3,104,196",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Transfer Payments,Municipal Ferries
2015-16,"331,455,308",Ministry of Transportation,Operating Expense,Policy and Planning,Bad Debt Expense,Statutory Appropriations,Transfer Payments,Municipal Public Transportation Funding
2015-16,"8,122,574",Ministry of Transportation,Operating Expense,Policy and Planning,Urban and Regional Transportation,Urban and Regional Transportation,Transfer Payments,Pan/ParaPan Am Games
2015-16,"479,318",Ministry of Transportation,Operating Expense,Policy and Planning,Urban and Regional Transportation,Urban and Regional Transportation,Transfer Payments,Participation and Awareness Grants 
2015-16,"7,744,221",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Transfer Payments,Payment in lieu of municipal Taxation
2015-16,"2,860,735,544",Ministry of Transportation,Capital Expense,Policy and Planning,Urban and Regional Transportation,Urban and Regional Transportation,Transfer Payments,Public Transit
2015-16,"-15,737,523",Ministry of Transportation,Capital Expense,Ministry Administration Program,Amortization ,Statutory Appropriations,Recoveries,Recoveries
2015-16,"-331,455,308",Ministry of Transportation,Operating Expense,Policy and Planning,Bad Debt Expense,Statutory Appropriations,Recoveries,Recoveries
2015-16,"-20,035,784",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Recoveries,Recoveries
2015-16,"-111,826,942",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Recoveries,Recoveries
2015-16,"-882,228",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Recoveries,Recoveries
2015-16,"-35,690,196",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Information and Information Technology Services ,Recoveries,Recoveries
2015-16,"-7,236,859",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Other Ministry Recoveries ,Recoveries,Recoveries
2015-16,"-38,845,871",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Recoveries,Recoveries
2015-16,"-66,248",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Recoveries,Recoveries
2015-16,"-8,498,276",Ministry of Transportation,Operating Expense,Road User Safety Program,Road User Safety,Road User Safety,Recoveries,Recoveries
2015-16,"150,000",Ministry of Transportation,Operating Expense,Road User Safety Program,Road User Safety,Road User Safety,Transfer Payments,Research Grants
2015-16,"69,119",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures ,Transfer Payments,Walker Road Widening
2015-16,"16,192,498",Ministry of Transportation,Capital Expense,Ministry Administration Program,Amortization ,Statutory Appropriations,Other Transaction,
2015-16,"778,010,928",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Amortization ,Statutory Appropriations,Other Transaction,
2015-16,"3,118,843",Ministry of Transportation,Capital Expense,Road User Safety Program,Amortization ,Statutory Appropriations,Other Transaction,
2015-16,"3,170,098",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Bad Debt Expense,Statutory Appropriations,Other Transaction,
2015-16,"192,898",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Employee Benefits,
2015-16,"441,470",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Communications Services ,Employee Benefits,
2015-16,"687,702",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services ,Employee Benefits,
2015-16,"979,867",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Employee Benefits,
2015-16,"1,645,881",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Salaries and Wages,
2015-16,"3,379,567",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Communications Services ,Salaries and Wages,
2015-16,"4,299,860",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services ,Salaries and Wages,
2015-16,"6,069,021",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Salaries and Wages,
2015-16,"191,939",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Services,
2015-16,"265,820",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services ,Services,
2015-16,"485,256",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Communications Services ,Services,
2015-16,"1,618,903",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Audit Services,Services,
2015-16,"2,445,001",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Legal Services,Services,
2015-16,"26,027,678",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Services,
2015-16,"14,477",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Supplies and equipment,
2015-16,"26,999",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Communications Services ,Supplies and equipment,
2015-16,"69,570",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Legal Services,Supplies and equipment,
2015-16,"508,997",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services ,Supplies and equipment,
2015-16,"9,732,060",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Supplies and equipment,
2015-16,"24,052",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Legal Services,Transportation and Communication,
2015-16,"43,360",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Transportation and Communication,
2015-16,"50,999",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Communications Services ,Transportation and Communication,
2015-16,"143,995",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services ,Transportation and Communication,
2015-16,"1,054,723",Ministry of Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Transportation and Communication,
2015-16,"73,317",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Windsor Border Initiatives Implementation Group,Employee Benefits,
2015-16,"9,970,919",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures ,Other Transaction,
2015-16,"541,431",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Windsor Border Initiatives Implementation Group,Salaries and Wages,
2015-16,"408,133",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Remote Aviation,Services,
2015-16,"1,670,454",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Windsor Border Initiatives Implementation Group,Services,
2015-16,"50,373",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Windsor Border Initiatives Implementation Group,Supplies and equipment,
2015-16,"2,480,428",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Remote Aviation,Supplies and Equipment,
2015-16,"22,008",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Windsor Border Initiatives Implementation Group,Transportation and Communication,
2015-16,"100,657",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Employee Benefits,
2015-16,"13,275,926",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Employee Benefits,
2015-16,"649,979",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Salaries and Wages,
2015-16,"83,518,662",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Salaries and Wages,
2015-16,"87,859",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Services,
2015-16,"11,701,725",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Services,
2015-16,"9,303",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Supplies and equipment,
2015-16,"1,206,707",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Supplies and equipment,
2015-16,"34,430",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Transportation and Communication,
2015-16,"2,123,922",Ministry of Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Transportation and Communication,
2015-16,"128,222",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Other Ministry Recoveries ,Employee Benefits,
2015-16,"3,708,296",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Information and Information Technology Services ,Employee Benefits,
2015-16,"1,034,028",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Other Ministry Recoveries ,Salaries and Wages,
2015-16,"27,766,417",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Information and Information Technology Services ,Salaries and Wages,
2015-16,"6,138,450",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Other Ministry Recoveries ,Services,
2015-16,"57,741,487",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Information and Information Technology Services ,Services,
2015-16,"15,363",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Other Ministry Recoveries ,Supplies and equipment,
2015-16,"586,739",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Information and Information Technology Services ,Supplies and equipment,
2015-16,"9,839",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Other Ministry Recoveries ,Transportation and Communication,
2015-16,"510,185",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Labour and Transportation Cluster Program ,Information and Information Technology Services ,Transportation and Communication,
2015-16,"49,301",Ministry of Transportation,Operating Expense,Ministry Administration Program,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"436,906",Ministry of Transportation,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources Services,Employee Benefits,
2015-16,"2,951,890",Ministry of Transportation,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources Services,Salaries and Wages,
2015-16,"780,727",Ministry of Transportation,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources Services,Services,
2015-16,"40,224",Ministry of Transportation,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources Services,Supplies and equipment,
2015-16,"53,493",Ministry of Transportation,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources Services,Transportation and Communication,
2015-16,"568,568",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Employee Benefits,
2015-16,"12,630,130",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Employee Benefits,
2015-16,"4,095,585",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Salaries and Wages,
2015-16,"63,559,442",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Salaries and Wages,
2015-16,"3,967,499",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Services,
2015-16,"322,796,326",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Services,
2015-16,"2,122,352",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Supplies and equipment,
2015-16,"24,447,857",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Supplies and equipment,
2015-16,"1,000,439",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Transportation and Communication,
2015-16,"4,381,189",Ministry of Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Transportation and Communication,
2015-16,"16,667",Ministry of Transportation,Operating Expense,Ministry Administration Program,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"2,458,166",Ministry of Transportation,Operating Expense,Policy and Planning,Policy and Planning ,Policy and Planning,Employee Benefits,
2015-16,"17,598,304",Ministry of Transportation,Operating Expense,Policy and Planning,Policy and Planning ,Policy and Planning,Salaries and Wages,
2015-16,"34,738,716",Ministry of Transportation,Operating Expense,Policy and Planning,Policy and Planning ,Policy and Planning,Services,
2015-16,"188,181",Ministry of Transportation,Operating Expense,Policy and Planning,Policy and Planning ,Policy and Planning,Supplies and equipment,
2015-16,"389,472",Ministry of Transportation,Operating Expense,Policy and Planning,Policy and Planning ,Policy and Planning,Transportation and Communication,
2015-16,"9,948,092",Ministry of Transportation,Operating Expense,Road User Safety Program,Road User Safety,Road User Safety,Employee Benefits,
2015-16,"61,214,320",Ministry of Transportation,Operating Expense,Road User Safety Program,Road User Safety,Road User Safety,Salaries and Wages,
2015-16,"41,873,366",Ministry of Transportation,Operating Expense,Road User Safety Program,Road User Safety,Road User Safety,Services,
2015-16,"1,195,674",Ministry of Transportation,Operating Expense,Road User Safety Program,Road User Safety,Road User Safety,Supplies and equipment,
2015-16,"2,362,941",Ministry of Transportation,Operating Expense,Road User Safety Program,Road User Safety,Road User Safety,Transportation and Communication,
2015-16,"2,878,936",Office of Francophone Affairs,Operating Expense,Francophone Affairs,Francophone Affairs,Francophone Affairs Co-ordination,Transfer Payments,Francophone Culture Program
2015-16,"322,345",Office of Francophone Affairs,Operating Expense,Francophone Affairs,Francophone Affairs,Francophone Affairs Co-ordination,Employee Benefits,
2015-16,"2,253,844",Office of Francophone Affairs,Operating Expense,Francophone Affairs,Francophone Affairs,Francophone Affairs Co-ordination,Salaries and Wages,
2015-16,"2,704,145",Office of Francophone Affairs,Operating Expense,Francophone Affairs,Francophone Affairs,Francophone Affairs Co-ordination,Services,
2015-16,"27,561",Office of Francophone Affairs,Operating Expense,Francophone Affairs,Francophone Affairs,Francophone Affairs Co-ordination,Supplies and equipment,
2015-16,"87,354",Office of Francophone Affairs,Operating Expense,Francophone Affairs,Francophone Affairs,Francophone Affairs Co-ordination,Transportation and Communication,
2015-16,"257,450",Office Of The Assembly,Operating Expense,Office of the Assembly,Ontario Legislative Internship Program,Ontario Legislative Internship Program,Transfer Payments,Ontario Legislative Internship Program
2015-16,"-48,281",Office Of The Assembly,Operating Expense,Office of the Assembly,Administrative Services,Administrative Services,Recoveries,Recoveries
2015-16,-40,Office Of The Assembly,Operating Expense,Commission(er)'s,Environmental Commissioner,Environmental Commissioner,Recoveries,Recoveries
2015-16,-61,Office Of The Assembly,Operating Expense,Office of the Assembly,Information and Technology Services,Information and Technology Services,Recoveries,Recoveries
2015-16,"-134,567",Office Of The Assembly,Operating Expense,Office of the Assembly,Legislative Services,Legislative Services,Recoveries,Recoveries
2015-16,"-182,075",Office Of The Assembly,Operating Expense,Office of the Assembly,Sergeant at Arms and Precinct Properties,Sergeant at Arms and Precinct Properties,Recoveries,Recoveries
2015-16,"1,364,321",Office Of The Assembly,Operating Expense,Office of the Assembly,Administrative Services,Administrative Services,Employee Benefits,
2015-16,"3,674,021",Office Of The Assembly,Operating Expense,Office of the Assembly,Administrative Services,Administrative Services,Salaries and Wages,
2015-16,"1,352,332",Office Of The Assembly,Operating Expense,Office of the Assembly,Administrative Services,Administrative Services,Services,
2015-16,"168,390",Office Of The Assembly,Operating Expense,Office of the Assembly,Administrative Services,Administrative Services,Supplies and equipment,
2015-16,"566,427",Office Of The Assembly,Operating Expense,Office of the Assembly,Administrative Services,Administrative Services,Transportation and Communication,
2015-16,"1,601,038",Office Of The Assembly,Operating Expense,Office of the Assembly,Caucus Support Services,Caucus Support Services,Employee Benefits,
2015-16,"7,444,069",Office Of The Assembly,Operating Expense,Office of the Assembly,Caucus Support Services,Caucus Support Services,Salaries and Wages,
2015-16,"2,434,931",Office Of The Assembly,Operating Expense,Office of the Assembly,Caucus Support Services,Caucus Support Services,Services,
2015-16,"447,611",Office Of The Assembly,Operating Expense,Office of the Assembly,Caucus Support Services,Caucus Support Services,Supplies and equipment,
2015-16,"305,352",Office Of The Assembly,Operating Expense,Office of the Assembly,Caucus Support Services,Caucus Support Services,Transportation and Communication,
2015-16,"583,020",Office Of The Assembly,Operating Expense,Commission(er)'s,Environmental Commissioner,Environmental Commissioner,Employee Benefits,
2015-16,"2,203,569",Office Of The Assembly,Operating Expense,Commission(er)'s,Environmental Commissioner,Environmental Commissioner,Salaries and Wages,
2015-16,"883,693",Office Of The Assembly,Operating Expense,Commission(er)'s,Environmental Commissioner,Environmental Commissioner,Services,
2015-16,"125,155",Office Of The Assembly,Operating Expense,Commission(er)'s,Environmental Commissioner,Environmental Commissioner,Supplies and equipment,
2015-16,"94,085",Office Of The Assembly,Operating Expense,Commission(er)'s,Environmental Commissioner,Environmental Commissioner,Transportation and Communication,
2015-16,"181,521",Office Of The Assembly,Operating Expense,Commission(er)'s,Financial Accountability Officer,Financial Accountability Officer,Employee Benefits,
2015-16,"943,763",Office Of The Assembly,Operating Expense,Commission(er)'s,Financial Accountability Officer,Financial Accountability Officer,Salaries and Wages,
2015-16,"678,927",Office Of The Assembly,Operating Expense,Commission(er)'s,Financial Accountability Officer,Financial Accountability Officer,Services,
2015-16,"202,287",Office Of The Assembly,Operating Expense,Commission(er)'s,Financial Accountability Officer,Financial Accountability Officer,Supplies and equipment,
2015-16,"24,245",Office Of The Assembly,Operating Expense,Commission(er)'s,Financial Accountability Officer,Financial Accountability Officer,Transportation and Communication,
2015-16,"1,395,984",Office Of The Assembly,Operating Expense,Office of the Assembly,Information and Technology Services,Information and Technology Services,Employee Benefits,
2015-16,"6,827,960",Office Of The Assembly,Operating Expense,Office of the Assembly,Information and Technology Services,Information and Technology Services,Salaries and Wages,
2015-16,"711,042",Office Of The Assembly,Operating Expense,Office of the Assembly,Information and Technology Services,Information and Technology Services,Services,
2015-16,"745,240",Office Of The Assembly,Operating Expense,Office of the Assembly,Information and Technology Services,Information and Technology Services,Supplies and equipment,
2015-16,"125,281",Office Of The Assembly,Operating Expense,Office of the Assembly,Information and Technology Services,Information and Technology Services,Transportation and Communication,
2015-16,"1,626,074",Office Of The Assembly,Operating Expense,Office of the Assembly,Legislative Services,Legislative Services,Employee Benefits,
2015-16,"7,469,656",Office Of The Assembly,Operating Expense,Office of the Assembly,Legislative Services,Legislative Services,Salaries and Wages,
2015-16,"1,345,999",Office Of The Assembly,Operating Expense,Office of the Assembly,Legislative Services,Legislative Services,Services,
2015-16,"394,435",Office Of The Assembly,Operating Expense,Office of the Assembly,Legislative Services,Legislative Services,Supplies and equipment,
2015-16,"446,140",Office Of The Assembly,Operating Expense,Office of the Assembly,Legislative Services,Legislative Services,Transportation and Communication,
2015-16,"4,193,733",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Compensation and Travel,Members' Compensation and Travel,Employee Benefits,
2015-16,"13,030,839",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Compensation and Travel,Members' Compensation and Travel,Salaries and Wages,
2015-16,"1,370,237",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Compensation and Travel,Members' Compensation and Travel,Services,
2015-16,"12,305",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Compensation and Travel,Members' Compensation and Travel,Supplies and equipment,
2015-16,"1,215,654",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Compensation and Travel,Members' Compensation and Travel,Transportation and Communication,
2015-16,"4,394,507",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Office Support Services,Members' Office Support Services,Employee Benefits,
2015-16,"19,555,819",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Office Support Services,Members' Office Support Services,Salaries and Wages,
2015-16,"7,754,867",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Office Support Services,Members' Office Support Services,Services,
2015-16,"1,828,650",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Office Support Services,Members' Office Support Services,Supplies and equipment,
2015-16,"2,374,998",Office Of The Assembly,Operating Expense,Office of the Assembly,Members' Office Support Services,Members' Office Support Services,Transportation and Communication,
2015-16,"122,056",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of French Language Services Commissioner,Office of French Language Services Commissioner,Employee Benefits,
2015-16,"623,417",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of French Language Services Commissioner,Office of French Language Services Commissioner,Salaries and Wages,
2015-16,"586,539",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of French Language Services Commissioner,Office of French Language Services Commissioner,Services,
2015-16,"179,835",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of French Language Services Commissioner,Office of French Language Services Commissioner,Supplies and equipment,
2015-16,"44,023",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of French Language Services Commissioner,Office of French Language Services Commissioner,Transportation and Communication,
2015-16,"88,508",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Clerk,Office of the Clerk,Employee Benefits,
2015-16,"493,815",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Clerk,Office of the Clerk,Salaries and Wages,
2015-16,"67,445",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Clerk,Office of the Clerk,Services,
2015-16,"14,782",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Clerk,Office of the Clerk,Supplies and equipment,
2015-16,"7,581",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Clerk,Office of the Clerk,Transportation and Communication,
2015-16,"1,904,066",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Information and Privacy Commissioner,Office of the Information and Privacy Commissioner,Employee Benefits,
2015-16,"9,394,704",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Information and Privacy Commissioner,Office of the Information and Privacy Commissioner,Salaries and Wages,
2015-16,"2,050,757",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Information and Privacy Commissioner,Office of the Information and Privacy Commissioner,Services,
2015-16,"474,346",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Information and Privacy Commissioner,Office of the Information and Privacy Commissioner,Supplies and equipment,
2015-16,"184,908",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Information and Privacy Commissioner,Office of the Information and Privacy Commissioner,Transportation and Communication,
2015-16,"391,032",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Integrity Commissioner,Office of the Integrity Commissioner,Employee Benefits,
2015-16,"1,215,866",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Integrity Commissioner,Office of the Integrity Commissioner,Salaries and Wages,
2015-16,"676,622",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Integrity Commissioner,Office of the Integrity Commissioner,Services,
2015-16,"60,309",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Integrity Commissioner,Office of the Integrity Commissioner,Supplies and equipment,
2015-16,"56,976",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Integrity Commissioner,Office of the Integrity Commissioner,Transportation and Communication,
2015-16,"785,688",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Provincial Advocate for Children and Youth,Office of the Provincial Advocate for Children and Youth,Employee Benefits,
2015-16,"3,989,967",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Provincial Advocate for Children and Youth,Office of the Provincial Advocate for Children and Youth,Salaries and Wages,
2015-16,"3,986,112",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Provincial Advocate for Children and Youth,Office of the Provincial Advocate for Children and Youth,Services,
2015-16,"710,523",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Provincial Advocate for Children and Youth,Office of the Provincial Advocate for Children and Youth,Supplies and equipment,
2015-16,"1,425,265",Office Of The Assembly,Operating Expense,Commission(er)'s,Office of the Provincial Advocate for Children and Youth,Office of the Provincial Advocate for Children and Youth,Transportation and Communication,
2015-16,"1,456",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Speaker,Office of the Speaker,Employee Benefits,
2015-16,"22,215",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Speaker,Office of the Speaker,Salaries and Wages,
2015-16,"137,418",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Speaker,Office of the Speaker,Services,
2015-16,"14,171",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Speaker,Office of the Speaker,Supplies and equipment,
2015-16,"56,318",Office Of The Assembly,Operating Expense,Office of the Assembly,Office of the Speaker,Office of the Speaker,Transportation and Communication,
2015-16,"1,536,626",Office Of The Assembly,Operating Expense,Office of the Assembly,Sergeant at Arms and Precinct Properties,Sergeant at Arms and Precinct Properties,Employee Benefits,
2015-16,"6,814,291",Office Of The Assembly,Operating Expense,Office of the Assembly,Sergeant at Arms and Precinct Properties,Sergeant at Arms and Precinct Properties,Salaries and Wages,
2015-16,"9,795,525",Office Of The Assembly,Operating Expense,Office of the Assembly,Sergeant at Arms and Precinct Properties,Sergeant at Arms and Precinct Properties,Services,
2015-16,"2,274,299",Office Of The Assembly,Operating Expense,Office of the Assembly,Sergeant at Arms and Precinct Properties,Sergeant at Arms and Precinct Properties,Supplies and equipment,
2015-16,"77,349",Office Of The Assembly,Operating Expense,Office of the Assembly,Sergeant at Arms and Precinct Properties,Sergeant at Arms and Precinct Properties,Transportation and Communication,
2015-16,"72,506",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,Office of the Auditor General,Transfer Payments,CCAF - FCVI Inc
2015-16,"2,278,601",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,Office of the Auditor General,Employee Benefits,
2015-16,"9,574,443",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,Office of the Auditor General,Salaries and Wages,
2015-16,"3,709,149",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,Office of the Auditor General,Services,
2015-16,"707,592",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,Office of the Auditor General,Supplies and Equipment,
2015-16,"354,235",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,Office of the Auditor General,Transportation and Communication,
2015-16,"280,137",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,The Auditor General Act,Statutory Appropriations,Salaries and Wages,
2015-16,"168,736",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,The Auditor General Act,Statutory Appropriations,Services,
