Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"19,931,811",Solicitor General,Operating Expense,Public Safety Division Program,Centre of Forensic Sciences,No Value,Salaries and wages,No Value
2021-22,"3,346,752",Solicitor General,Operating Expense,Public Safety Division Program,Centre of Forensic Sciences,No Value,Employee benefits,No Value
2021-22,"357,400",Solicitor General,Operating Expense,Public Safety Division Program,Centre of Forensic Sciences,No Value,Transportation and communication,No Value
2021-22,"2,274,624",Solicitor General,Operating Expense,Public Safety Division Program,Centre of Forensic Sciences,No Value,Services,No Value
2021-22,"3,092,839",Solicitor General,Operating Expense,Public Safety Division Program,Centre of Forensic Sciences,No Value,Supplies and equipment,No Value
2021-22,"11,225,371",Solicitor General,Operating Expense,Public Safety Division Program,Ontario Police College,No Value,Salaries and wages,No Value
2021-22,"1,308,826",Solicitor General,Operating Expense,Public Safety Division Program,Ontario Police College,No Value,Employee benefits,No Value
2021-22,"1,044,764",Solicitor General,Operating Expense,Public Safety Division Program,Ontario Police College,No Value,Transportation and communication,No Value
2021-22,"8,939,855",Solicitor General,Operating Expense,Public Safety Division Program,Ontario Police College,No Value,Services,No Value
2021-22,"2,119,283",Solicitor General,Operating Expense,Public Safety Division Program,Ontario Police College,No Value,Supplies and equipment,No Value
2021-22,"130,975,290",Solicitor General,Operating Expense,Ontario Provincial Police Program,Corporate and Strategic Services,No Value,Salaries and wages,No Value
2021-22,"15,968,466",Solicitor General,Operating Expense,Ontario Provincial Police Program,Corporate and Strategic Services,No Value,Employee benefits,No Value
2021-22,"15,255,653",Solicitor General,Operating Expense,Ontario Provincial Police Program,Corporate and Strategic Services,No Value,Transportation and communication,No Value
2021-22,"51,512,081",Solicitor General,Operating Expense,Ontario Provincial Police Program,Corporate and Strategic Services,No Value,Services,No Value
2021-22,"11,574,188",Solicitor General,Operating Expense,Ontario Provincial Police Program,Corporate and Strategic Services,No Value,Supplies and equipment,No Value
2021-22,"-1,117,517",Solicitor General,Operating Expense,Ontario Provincial Police Program,Corporate and Strategic Services,No Value,Recoveries,No Value
2021-22,"3,834,647",Solicitor General,Operating Expense,Ontario Provincial Police Program,Chief Firearms Office,No Value,Salaries and wages,No Value
2021-22,"398,599",Solicitor General,Operating Expense,Ontario Provincial Police Program,Chief Firearms Office,No Value,Employee benefits,No Value
2021-22,"55,093",Solicitor General,Operating Expense,Ontario Provincial Police Program,Chief Firearms Office,No Value,Transportation and communication,No Value
2021-22,"1,926,147",Solicitor General,Operating Expense,Ontario Provincial Police Program,Chief Firearms Office,No Value,Services,No Value
2021-22,"24,581",Solicitor General,Operating Expense,Ontario Provincial Police Program,Chief Firearms Office,No Value,Supplies and equipment,No Value
2021-22,"142,298,044",Solicitor General,Operating Expense,Ontario Provincial Police Program,Investigations and Organized Crime,No Value,Salaries and wages,No Value
2021-22,"13,241,188",Solicitor General,Operating Expense,Ontario Provincial Police Program,Investigations and Organized Crime,No Value,Employee benefits,No Value
2021-22,"4,536,171",Solicitor General,Operating Expense,Ontario Provincial Police Program,Investigations and Organized Crime,No Value,Transportation and communication,No Value
2021-22,"17,849,586",Solicitor General,Operating Expense,Ontario Provincial Police Program,Investigations and Organized Crime,No Value,Services,No Value
2021-22,"1,723,730",Solicitor General,Operating Expense,Ontario Provincial Police Program,Investigations and Organized Crime,No Value,Supplies and equipment,No Value
2021-22,"-2,223,668",Solicitor General,Operating Expense,Ontario Provincial Police Program,Investigations and Organized Crime,No Value,Recoveries,No Value
2021-22,"730,260,402",Solicitor General,Operating Expense,Ontario Provincial Police Program,Field and Traffic Services,No Value,Salaries and wages,No Value
2021-22,"127,556,000",Solicitor General,Operating Expense,Ontario Provincial Police Program,Field and Traffic Services,No Value,Employee benefits,No Value
2021-22,"5,689,343",Solicitor General,Operating Expense,Ontario Provincial Police Program,Field and Traffic Services,No Value,Transportation and communication,No Value
2021-22,"27,661,329",Solicitor General,Operating Expense,Ontario Provincial Police Program,Field and Traffic Services,No Value,Services,No Value
2021-22,"7,558,691",Solicitor General,Operating Expense,Ontario Provincial Police Program,Field and Traffic Services,No Value,Supplies and equipment,No Value
2021-22,"-31,741,505",Solicitor General,Operating Expense,Ontario Provincial Police Program,Field and Traffic Services,No Value,Recoveries,No Value
2021-22,"63,951",Solicitor General,Operating Expense,Ontario Provincial Police Program,Fleet Management,No Value,Transportation and communication,No Value
2021-22,"26,883,039",Solicitor General,Operating Expense,Ontario Provincial Police Program,Fleet Management,No Value,Services,No Value
2021-22,"46,616,249",Solicitor General,Operating Expense,Ontario Provincial Police Program,Fleet Management,No Value,Supplies and equipment,No Value
2021-22,"-1,918,951",Solicitor General,Operating Expense,Ontario Provincial Police Program,Fleet Management,No Value,Recoveries,No Value
2021-22,"433,871",Solicitor General,Operating Expense,Ontario Provincial Police Program,Statutory Appropriations,No Value,Other transactions,Payments under the Police Services Act
2021-22,"19,541,496",Solicitor General,Operating Expense,Correctional Services Program,Operational Support,No Value,Salaries and wages,No Value
2021-22,"2,953,214",Solicitor General,Operating Expense,Correctional Services Program,Operational Support,No Value,Employee benefits,No Value
2021-22,"256,731",Solicitor General,Operating Expense,Correctional Services Program,Operational Support,No Value,Transportation and communication,No Value
2021-22,"2,434,276",Solicitor General,Operating Expense,Correctional Services Program,Operational Support,No Value,Services,No Value
2021-22,"6,818,795",Solicitor General,Operating Expense,Correctional Services Program,Operational Support,No Value,Supplies and equipment,No Value
2021-22,"-5,715,456",Solicitor General,Operating Expense,Correctional Services Program,Operational Support,No Value,Recoveries,No Value
2021-22,"10,454,231",Solicitor General,Operating Expense,Correctional Services Program,Staff Recruitment and Training,No Value,Salaries and wages,No Value
2021-22,"1,682,133",Solicitor General,Operating Expense,Correctional Services Program,Staff Recruitment and Training,No Value,Employee benefits,No Value
2021-22,"330,735",Solicitor General,Operating Expense,Correctional Services Program,Staff Recruitment and Training,No Value,Transportation and communication,No Value
2021-22,"4,310,566",Solicitor General,Operating Expense,Correctional Services Program,Staff Recruitment and Training,No Value,Services,No Value
2021-22,"740,818",Solicitor General,Operating Expense,Correctional Services Program,Staff Recruitment and Training,No Value,Supplies and equipment,No Value
2021-22,"641,896,370",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Salaries and wages,No Value
2021-22,"128,373,626",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Employee benefits,No Value
2021-22,"6,646,509",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transportation and communication,No Value
2021-22,"73,737,030",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Services,No Value
2021-22,"80,869,035",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Supplies and equipment,No Value
2021-22,"96,900",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Grants to compensate for Municipal Taxation
2021-22,"2,292",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Compassionate allowances to permanently handicapped inmates
2021-22,"62,586",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Violence Awareness Program
2021-22,"2,968,955",Solicitor General,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Offender Rehabilitation Programs
2021-22,"96,276,616",Solicitor General,Operating Expense,Correctional Services Program,Community Services ,No Value,Salaries and wages,No Value
2021-22,"18,119,279",Solicitor General,Operating Expense,Correctional Services Program,Community Services ,No Value,Employee benefits,No Value
2021-22,"1,400,734",Solicitor General,Operating Expense,Correctional Services Program,Community Services ,No Value,Transportation and communication,No Value
2021-22,"8,077,680",Solicitor General,Operating Expense,Correctional Services Program,Community Services ,No Value,Services,No Value
2021-22,"730,246",Solicitor General,Operating Expense,Correctional Services Program,Community Services ,No Value,Supplies and equipment,No Value
2021-22,"10,182,098",Solicitor General,Operating Expense,Correctional Services Program,Community Services ,No Value,Transfer payments,Community Residential / Non-Residential Client Services
2021-22,"4,553,653",Solicitor General,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,No Value,Salaries and wages,No Value
2021-22,"634,954",Solicitor General,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,No Value,Employee benefits,No Value
2021-22,"67,180",Solicitor General,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,No Value,Transportation and communication,No Value
2021-22,"317,118",Solicitor General,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,No Value,Services,No Value
2021-22,"3,975",Solicitor General,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,No Value,Supplies and equipment,No Value
2021-22,"36,452,062",Solicitor General,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Salaries and wages,No Value
2021-22,"5,153,545",Solicitor General,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Employee benefits,No Value
2021-22,"48,741,312",Solicitor General,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Transportation and communication,No Value
2021-22,"106,027,393",Solicitor General,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Services,No Value
2021-22,"144,599",Solicitor General,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Supplies and equipment,No Value
2021-22,"-90,761,146",Solicitor General,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Recoveries,No Value
2021-22,"222,249",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Salaries and wages,No Value
2021-22,"33,572",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Employee benefits,No Value
2021-22,"3,640",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Transportation and communication,No Value
2021-22,"201,795",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Services,No Value
2021-22,854,Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Supplies and equipment,No Value
2021-22,"413,029",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Salaries and wages,No Value
2021-22,"55,062",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Employee benefits,No Value
2021-22,"4,008",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Transportation and communication,No Value
2021-22,"154,476",Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Services,No Value
2021-22,261,Solicitor General,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Supplies and equipment,No Value
2021-22,"23,452,975",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Salaries and wages,No Value
2021-22,"3,030,079",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Employee benefits,No Value
2021-22,"567,638",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Transportation and communication,No Value
2021-22,"29,182,430",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Services,No Value
2021-22,"902,298",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Supplies and equipment,No Value
2021-22,"2,200,000",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Transfer payments,Grants for Forensic Services
2021-22,"24,303,661",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,No Value,Salaries and wages,No Value
2021-22,"3,997,367",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,No Value,Employee benefits,No Value
2021-22,"1,504,570",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,No Value,Transportation and communication,No Value
2021-22,"10,605,123",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,No Value,Services,No Value
2021-22,"1,220,055",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,No Value,Supplies and equipment,No Value
2021-22,"2,463,030",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,No Value,Transfer payments,Grants for Fire Safety
2021-22,"5,054,687",Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,No Value,Transfer payments,Grants for Emergency Operations
2021-22,"5,838,159",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,No Value,Salaries and wages,No Value
2021-22,"897,312",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,No Value,Employee benefits,No Value
2021-22,"21,734",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,No Value,Transportation and communication,No Value
2021-22,"132,724",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,No Value,Services,No Value
2021-22,"16,245",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,No Value,Supplies and equipment,No Value
2021-22,"2,935,450",Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,No Value,Salaries and wages,No Value
2021-22,"405,201",Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,No Value,Employee benefits,No Value
2021-22,"34,224",Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,No Value,Transportation and communication,No Value
2021-22,"385,164",Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,No Value,Services,No Value
2021-22,"19,710",Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,No Value,Supplies and equipment,No Value
2021-22,"3,681,500",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Anti-Racism Directorate,No Value,Salaries and wages,No Value
2021-22,"444,930",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Anti-Racism Directorate,No Value,Employee benefits,No Value
2021-22,"18,647",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Anti-Racism Directorate,No Value,Transportation and communication,No Value
2021-22,"1,019,439",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Anti-Racism Directorate,No Value,Services,No Value
2021-22,"4,728",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Anti-Racism Directorate,No Value,Supplies and equipment,No Value
2021-22,"4,895,965",Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Anti-Racism Directorate,No Value,Transfer payments,Anti-Racism Initiatives
2021-22,"76,585",Solicitor General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Services,No Value
2021-22,"1,104",Solicitor General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Supplies and equipment,No Value
2021-22,"291,401",Solicitor General,Capital Expense,Public Safety Division Program,Public Safety Division,No Value,Services,No Value
2021-22,"6,656,387",Solicitor General,Capital Expense,Public Safety Division Program,Public Safety Division,No Value,Transfer payments,Federal-Provincial First Nations Policing Agreements
2021-22,"1,095,969",Solicitor General,Capital Expense,Public Safety Division Program,Public Safety Division,No Value,Transfer payments,Policing Equipment
2021-22,"16,787,438",Solicitor General,Capital Expense,Public Safety Division Program,Public Safety Division,No Value,Other transactions,Capital Investments
2021-22,"674,284",Solicitor General,Capital Expense,Public Safety Division Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"10,743,790",Solicitor General,Capital Expense,Ontario Provincial Police Program,Ontario Provincial Police,No Value,Services,No Value
2021-22,"13,076,750",Solicitor General,Capital Expense,Ontario Provincial Police Program,Ontario Provincial Police,No Value,Other transactions,Capital Investments
2021-22,"13,017,850",Solicitor General,Capital Expense,Ontario Provincial Police Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"13,692,205",Solicitor General,Capital Expense,Correctional Services Program,Correctional Facilities,No Value,Services,No Value
2021-22,"191,813",Solicitor General,Capital Expense,Correctional Services Program,Correctional Facilities,No Value,Supplies and equipment,No Value
2021-22,"55,918,830",Solicitor General,Capital Expense,Correctional Services Program,Correctional Facilities,No Value,Other transactions,Capital Investments
2021-22,"3,231,546",Solicitor General,Capital Expense,Correctional Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, Institutional Services, the Financial Administration Act"
2021-22,"2,154,004",Solicitor General,Capital Expense,Justice Technology Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"530,779",Solicitor General,Capital Expense,Emergency Planning and Management Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"3,480,772",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"340,052",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"18,928",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"155,551",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,"3,272",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"2,765,454",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"380,367",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"24,230",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"214,014",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,372,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"33,428",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Transportation and communication,No Value
2021-22,"222,165,344",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Services,No Value
2021-22,"18,316,164",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,No Value
2021-22,"2,503,806",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2021-22,"281,499",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,No Value
2021-22,"10,268,482",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,No Value
2021-22,"198,712",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,No Value
2021-22,"325,000",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transfer payments,Innovation Projects
2021-22,"-90,000",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Recoveries,No Value
2021-22,"49,301",Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"15,950",Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
2021-22,"253,702,665",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Salaries and wages,No Value
2021-22,"27,815,842",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Employee benefits,No Value
2021-22,"2,371,788",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transportation and communication,No Value
2021-22,"17,925,759",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Services,No Value
2021-22,"2,269,588",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Supplies and equipment,No Value
2021-22,"1,332,639",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Bail Safety
2021-22,"1,014,317",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Justice Centre - Community Partnerships
2021-22,"3,544,757",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Direct Accountability Programs
2021-22,"1,763,021",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Proceeds of Crime Victims Compensation
2021-22,"344,194",Attorney General,Operating Expense,Prosecuting Crime Program,Statutory Appropriations,No Value,Other transactions,Payments under the Financial Administration Act
2021-22,"388,343,600",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Legal Aid Ontario,No Value,Transfer payments,Legal Aid Ontario
2021-22,"3,240,236",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Salaries and wages,No Value
2021-22,"489,917",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Employee benefits,No Value
2021-22,"22,030",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Transportation and communication,No Value
2021-22,"862,473",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Services,No Value
2021-22,"3,627",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Supplies and equipment,No Value
2021-22,"-180,000",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Recoveries,No Value
2021-22,"5,562",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Bail Verification and Supervision,Transportation and communication,No Value
2021-22,110,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Bail Verification and Supervision,Services,No Value
2021-22,"12,479,040",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Bail Verification and Supervision,Transfer payments,Bail Verification and Supervision
2021-22,"4,013,914",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Salaries and wages,No Value
2021-22,"544,861",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Employee benefits,No Value
2021-22,"84,046",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Transportation and communication,No Value
2021-22,"596,269",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Services,No Value
2021-22,"15,242",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Supplies and equipment,No Value
2021-22,"5,336,200",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Human Rights Legal Support Centre,Transfer payments,Human Rights Legal Support Centre
2021-22,"5,231,351",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Salaries and wages,No Value
2021-22,"690,364",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Employee benefits,No Value
2021-22,"29,911",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Transportation and communication,No Value
2021-22,"392,972",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Services,No Value
2021-22,"16,178",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Supplies and equipment,No Value
2021-22,"7,487,118",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Salaries and wages,No Value
2021-22,"917,675",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Employee benefits,No Value
2021-22,"292,033",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Transportation and communication,No Value
2021-22,"924,803",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Services,No Value
2021-22,"118,375",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Supplies and equipment,No Value
2021-22,"53,238,000",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Salaries and wages,No Value
2021-22,"7,754,425",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Employee benefits,No Value
2021-22,"1,358,933",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Transportation and communication,No Value
2021-22,"23,222,007",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Services,No Value
2021-22,"379,173",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Supplies and equipment,No Value
2021-22,"2,442,727",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Transfer payments,Compensation to Victims of Crime
2021-22,"-239,173",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Recoveries,No Value
2021-22,"8,768,343",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Salaries and wages,No Value
2021-22,"1,177,868",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Employee benefits,No Value
2021-22,"83,170",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Transportation and communication,No Value
2021-22,"1,479,466",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Services,No Value
2021-22,"97,752",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Supplies and equipment,No Value
2021-22,"5,586,472",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,Policy,Salaries and wages,No Value
2021-22,"595,542",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,Policy,Employee benefits,No Value
2021-22,"27,777",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,Policy,Transportation and communication,No Value
2021-22,"398,115",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,Policy,Services,No Value
2021-22,"16,207",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,Policy,Supplies and equipment,No Value
2021-22,"3,344,003",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Salaries and wages,No Value
2021-22,"352,507",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Employee benefits,No Value
